issue,candidate,family,source,schema,gross_bps,net_bps_0,net_bps_2,net_bps_4,net_bps_7.5,net_bps_10,net_moot_reason,trade_count,oos_trade_count,n_folds,single_fold_edge,t_stat_gross,t_stat_oos,verdict,baseline_beat,failure_modes,citation
ROB-320,meanrev_zscore_fade,mean-reversion z-score fade,reparsed,validated_signal_gate.v1,0.1584,0.1584,-0.4048,-0.9681,-1.9538,-2.6579,,789,198,3,False,,,not_validated,micro_breakout=beat;random_entry=beat,cost_dominated,<artifact_root>/rob320/meanrev.json (validated_signal_gate.v1)
ROB-383,freqtrade_supertrend,trend (Supertrend ATR trail),reparsed,validated_signal_gate.v1,4.3717,4.3717,0.3717,-3.6283,-10.6283,-15.6283,,1828,457,3,True,,,not_validated / sieve_class=reject,micro_breakout=lost;random_entry=beat,cost_dominated|single_fold_only,"<artifact_root>/discovery/rob383/phase3_validation.json::results.freqtrade_supertrend (validated_signal_gate.v1, sieve class=reject)"
ROB-383,freqtrade_bbrsi_naive,mean-reversion (Bollinger + RSI),reparsed,validated_signal_gate.v1,10.3192,10.3192,6.3192,2.3192,-4.6808,-9.6808,,6903,1727,3,False,,,validated / sieve_class=shadow_candidate,micro_breakout=beat;random_entry=beat,cost_dominated|fee_fragile|license_shadow_only,"<artifact_root>/discovery/rob383/phase3_validation.json::results.freqtrade_bbrsi_naive (validated_signal_gate.v1, sieve class=shadow_candidate)"
ROB-383,tv_squeeze_momentum,volatility (TTM squeeze momentum),reparsed,validated_signal_gate.v1,13.6042,13.6042,9.6042,5.6042,-1.3958,-6.3958,,2230,558,3,True,,,not_validated / sieve_class=research_candidate,micro_breakout=beat;random_entry=beat,cost_dominated|fee_fragile|single_fold_only|source_unfaithful,"<artifact_root>/discovery/rob383/phase3_validation.json::results.tv_squeeze_momentum (validated_signal_gate.v1, sieve class=research_candidate)"
ROB-383,tv_range_filter,trend (range filter),reparsed,validated_signal_gate.v1,-5.5201,-5.5201,-9.5201,-13.5201,-20.5201,-25.5201,,10981,2746,3,False,,,not_validated / sieve_class=reject,micro_breakout=lost;random_entry=lost,gross_zero,"<artifact_root>/discovery/rob383/phase3_validation.json::results.tv_range_filter (validated_signal_gate.v1, sieve class=reject)"
ROB-383,tv_chandelier_exit,trend (chandelier exit),reparsed,validated_signal_gate.v1,10.5169,10.5169,6.5169,2.5169,-4.4831,-9.4831,,3914,979,3,False,,,validated / sieve_class=shadow_candidate,micro_breakout=beat;random_entry=beat,cost_dominated|fee_fragile|license_shadow_only,"<artifact_root>/discovery/rob383/phase3_validation.json::results.tv_chandelier_exit (validated_signal_gate.v1, sieve class=shadow_candidate)"
ROB-382,ichi,ichimoku_trend_follow,reparsed,rob382_falsification.v1,15.258,15.258,11.258,7.258,0.258,-4.742,,830,385,,,1.903,1.185,gross_edge_present_AND_oos_validated / gate=validated / decisive_survivor=False,micro_breakout=beat;random_same_turnover=beat,cost_dominated|fee_fragile,<artifact_root>/rob382/rob382_falsification.v1.json::candidates[ichi] (rob382_falsification.v1)
ROB-382,elliot,ewo_sma_offset_meanrev,reparsed,rob382_falsification.v1,129.7298,129.7298,125.7298,121.7298,114.7298,109.7298,,18,5,,,3.647,1.6,gross_edge_present_but_underpowered / gate=insufficient_data / decisive_survivor=False,micro_breakout=beat;random_same_turnover=beat,single_fold_only,<artifact_root>/rob382/rob382_falsification.v1.json::candidates[elliot] (rob382_falsification.v1)
ROB-382,vwap,vwap_band_dip_volume,reparsed,rob382_falsification.v1,69.1673,69.1673,65.1673,61.1673,54.1673,49.1673,,43,17,,,1.026,1.0,gross_edge_present_but_underpowered / gate=insufficient_data / decisive_survivor=False,micro_breakout=beat;random_same_turnover=beat,single_fold_only,<artifact_root>/rob382/rob382_falsification.v1.json::candidates[vwap] (rob382_falsification.v1)
ROB-382,cluc,heikinashi_bb_squeeze_meanrev,reparsed,rob382_falsification.v1,129.8517,129.8517,125.8517,121.8517,114.8517,109.8517,,198,89,,,3.118,1.684,gross_edge_present_but_underpowered / gate=insufficient_data / decisive_survivor=False,micro_breakout=beat;random_same_turnover=beat,single_fold_only,<artifact_root>/rob382/rob382_falsification.v1.json::candidates[cluc] (rob382_falsification.v1)
ROB-353,family1_breakout_continuation,family 1 breakout continuation,reparsed,rob351_campaign.v1,-70.99,,,,,,gross -70.99 bps <= 0 -> net is moot; cost_binding_screen=False (fees are NOT the bottleneck),1366,,,,,,"screened_out (gate=None, label_343=None)",buy_and_hold_btc=lost,gross_zero,<artifact_root>/rob353/rob351_campaign.v1.json::verdict_table.families[family1_breakout_continuation] (rob351_campaign.v1)
ROB-353,family2_ts_trend_basket,family 2 ts trend basket,reparsed,rob351_campaign.v1,-27.53,,,,,,gross -27.53 bps <= 0 -> net is moot; cost_binding_screen=False (fees are NOT the bottleneck),58,,,,,,"screened_out (gate=None, label_343=None)",buy_and_hold_btc=lost,gross_zero,<artifact_root>/rob353/rob351_campaign.v1.json::verdict_table.families[family2_ts_trend_basket] (rob351_campaign.v1)
ROB-353,family3_xs_momentum,family 3 xs momentum,reparsed,rob351_campaign.v1,-39.38,,,,,,gross -39.38 bps <= 0 -> net is moot; cost_binding_screen=False (fees are NOT the bottleneck),172,,,,,,"screened_out (gate=None, label_343=None)",buy_and_hold_btc=lost,gross_zero,<artifact_root>/rob353/rob351_campaign.v1.json::verdict_table.families[family3_xs_momentum] (rob351_campaign.v1)
ROB-342,short_horizon_sweep_reversal (best of 5 families),liquidity-sweep / fake-breakout reversal,documented,documented,0.44,,,,,,documented as-recorded; net grid not published (gross 0.44 bps << 6-8 bps cost hurdle),,,,,,,screened_out (all 5 families),,cost_dominated,"ROB-342 issue description (Linear), quoting ROB-339 smoke: 'best observed gross edge was only about +0.44 bps for BTCUSDT sweep reversal and about +0.28 bps for XRPUSDT sweep/time-of-day, far below the estimated 6-8 bps cost hurdle'; 'all 5 tested families screened out'."
